School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Federal Classification,Level,Title 1,Number Of Years Identified,Reason For Federal Classification
20242025,034,FAYETTE,165,Fayette County,200,Paul Laurence Dunbar High School,165200,034165200,210186000000,CKEC,901,A1,ATSI,High School,Y,4,English Learners plus Monitored
20242025,034,FAYETTE,165,Fayette County,245,Winburn Middle School,165245,034165245,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4,English Learners plus Monitored; Disability
20242025,034,FAYETTE,165,Fayette County,255,Millcreek Elementary School,165255,034165255,210186000000,CKEC,901,A1,ATSI,Elementary School,Y,4,Disability
20242025,034,FAYETTE,165,Fayette County,525,Southern Middle School,165525,034165525,210186000394,CKEC,901,A1,ATSI,Middle School,Y,4,English Learners plus Monitored; Disability
20242025,036,FLOYD,175,Floyd County,440,James D. Adams Middle School,175440,036175440,210195000000,KVEC,904,A1,ATSI,Middle School,Y,4,Disability
20242025,037,FRANKLIN,181,Franklin County,014,Bridgeport Elementary School,181014,037181014,210201000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,037,FRANKLIN,181,Franklin County,015,Bondurant Middle School,181015,037181015,210201000000,OVEC,906,A1,ATSI,Middle School,N,4,Disability
20242025,037,FRANKLIN,181,Franklin County,030,Elkhorn Middle School,181030,037181030,210201000000,OVEC,906,A1,ATSI,Middle School,N,4,English Learners plus Monitored; Disability
20242025,037,FRANKLIN,181,Franklin County,045,Hearn Elementary,181045,037181045,210201000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,038,FULTON,186,Fulton Independent,018,Fulton Independent School,186018,038186018,210207002205,WKEC,908,A1,CSI,Middle School,Y,1,Bottom 5%
20242025,039,GALLATIN,191,Gallatin County,006,Gallatin County Upper Elementary,191006,039191006,210213000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,039,GALLATIN,191,Gallatin County,010,Gallatin County Lower Elementary,191010,039191010,210213000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,041,GRANT,201,Grant County,016,Sherman Elementary,201016,041201016,210225000000,OVEC,906,A1,TSI,Elementary School,Y,,Disability
20242025,043,GRAYSON,211,Grayson County,085,Grayson County High School,211085,043211085,210230000000,GRREC,902,A1,TSI,High School,N,,Disability
20242025,045,GREENUP,221,Greenup County,024,Wurtland Middle School,221024,045221024,210240001610,KEDC,903,A1,ATSI,Middle School,Y,4,Disability
20242025,046,HANCOCK,225,Hancock County,007,Hancock County Middle School,225007,046225007,210246000000,GRREC,902,A1,TSI,Middle School,N,,Disability
20242025,047,HARDIN,231,Hardin County,015,Bluegrass Middle School,231015,047231015,210249000000,GRREC,902,A1,ATSI,Middle School,Y,4,Disability
20242025,047,HARDIN,231,Hardin County,075,North Hardin High School,231075,047231075,210249000000,GRREC,902,A1,ATSI,High School,Y,4,Disability
20242025,047,HARDIN,231,Hardin County,080,North Middle School,231080,047231080,210249000000,GRREC,902,A1,ATSI,Middle School,Y,4,Disability
20242025,054,HOPKINS,265,Hopkins County,130,Hopkins County Central High School,265130,054265130,210286000000,WKEC,908,A1,TSI,High School,Y,,Disability
20242025,056,JEFFERSON,275,Jefferson County,005,Cane Run Elementary,275005,056275005,210299000000,GREC,909,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,056,JEFFERSON,275,Jefferson County,007,Eastern High,275007,056275007,210299000000,GREC,909,A1,ATSI,High School,N,4,English Learners plus Monitored; Disability
20242025,056,JEFFERSON,275,Jefferson County,011,Fern Creek Elementary,275011,056275011,210299000000,GREC,909,A1,ATSI,Elementary School,Y,4,Disability
20242025,056,JEFFERSON,275,Jefferson County,012,Fern Creek High,275012,056275012,210299000000,GREC,909,A1,ATSI,High School,Y,4,Disability
